Size_class_in,Size_Class_cm, Total_Beech_Stems , Beech_Stem_Density ,Beech_stems_ha,Beech_LN_Stem_Density,Beech_Dead,Beech_Dead_Density,Beech_Dead_ha,Beech_relative_mortality,Beech_RBM,SM_Total_Stems, SM_stem_Density ,SM_stems_ha,SM_LN_Stem_Density,SM_Dead,SM_Dead_Density,SM_Dead_ha,SM_relative_mortality,SM_RBM, All_stems , All_Stem_Density ,All_stems_ha,All_LN_Stem_Density,All_Dead,All_Dead_Density,All_Dead_ha,All_relative_mortality,All_RBM
1,2.54,1236382544,308.7122255,124.9315157,4.827765713,,,,0,0.273693706,1108095234,276.6801808,111.9685957,4.718218436,,,,0,0.22738553,11247177881,2808.306645,1136.482383,7.035693142,,,,0,0.23939554
2,5.08,165281636.6,41.26915422,16.70104895,2.815471529,,,,0,0.273693706,67878968.34,16.94869236,6.858898518,1.925546863,,,,0,0.22738553,1412614248,352.715501,142.7390252,4.961017965,,,,0,0.23939554
3,7.62,52797124.69,13.18290843,5.334938482,1.674277354,,,,0,0.273693706,30608581.58,7.64265347,3.092874862,1.129101034,,,,0,0.22738553,587974298.7,146.8112399,59.41245345,4.084503858,,,,0,0.23939554
4,10.16,31133118.04,7.773624923,3.145877175,1.146092762,,,,0,0.273693706,14643688.27,3.656380963,1.479686186,0.391830029,,,,0,0.22738553,332159150,82.93678274,33.56335486,3.513434843,,,,0,0.23939554
5,12.7,18798019.14,4.693675394,1.899464721,0.64157212,,,,0,0.273693706,15226406.27,3.801879759,1.538567512,0.430851797,63687.81437,0.015902204,0.006435399,0.004165299,0.22738553,209126329,52.21673078,21.13137991,3.050759135,3261495.533,0.814362472,0.329561091,0.015356321,0.23939554
6,15.24,12212897.53,3.049437082,1.234064495,0.210313189,605828.4737,0.151269247,0.061216546,0.047261208,0.273693706,9786936.963,2.443699247,0.988930873,-0.011130845,653012.9362,0.16305073,0.065984348,0.062549432,0.22738553,170359579.9,42.53706534,17.21415482,2.845732,32354437.61,8.078576076,3.269286638,0.159606316,0.23939554
7,17.78,7084619.406,1.768957864,0.715872482,-0.334253225,118244.5446,0.029524468,0.011948139,0.016416323,0.273693706,8218069.889,2.051968994,0.830403124,-0.185844004,563931.189,0.140807918,0.056982993,0.064214429,0.22738553,130818962.4,32.66417278,13.21873343,2.581635022,24797315.22,6.191638994,2.505669618,0.159349109,0.23939554
8,20.32,5452265.986,1.361375713,0.550929692,-0.596148079,306548.8502,0.07654215,0.030975536,0.053231239,0.273693706,7016003.997,1.75182529,0.708939169,-0.343985554,663878.7369,0.165763811,0.067082294,0.086443864,0.22738553,111001231.3,27.71588562,11.21623089,2.417361916,18258800.77,4.559038016,1.844978859,0.141256353,0.23939554
9,22.86,3910854.532,0.976500851,0.395176223,-0.928423479,491528.5613,0.122729714,0.049666997,0.111650565,0.273693706,7438398.862,1.857293019,0.751620483,-0.28552376,556351.6436,0.138915383,0.056217111,0.069589619,0.22738553,90119612.3,22.50195638,9.106226721,2.208958435,13769419,3.438084761,1.39134477,0.13253968,0.23939554
10,25.4,3588425.169,0.895993498,0.362596025,-1.014465944,485178.0514,0.121144056,0.049025303,0.119102923,0.273693706,5823879.993,1.454163974,0.588479802,-0.530212674,544292.0373,0.135904221,0.054998535,0.085470687,0.22738553,70004770.14,17.47948359,7.073702297,1.956384006,10860452.26,2.711745166,1.097405304,0.134303127,0.23939554
11,27.94,2809862.993,0.701594391,0.283925428,-1.259043654,185243.6386,0.046253464,0.018718129,0.061848762,0.273693706,4597375.133,1.147918107,0.464546387,-0.766693862,430424.7266,0.107472704,0.043492699,0.085608962,0.22738553,53648378.05,13.39545779,5.420954233,1.690271858,6984027.629,1.743841114,0.705708085,0.115186385,0.23939554
12,30.48,2067282.923,0.516179653,0.208890679,-1.565944231,298746.5414,0.074593992,0.030187144,0.126264929,0.273693706,4033281.757,1.007069692,0.407547005,-0.897599003,236024.6751,0.058932976,0.02384935,0.055284079,0.22738553,45390400.31,11.33352421,4.58651858,1.523121257,4199004.452,1.048448974,0.424292621,0.084675436,0.23939554
13,33.02,1807022.037,0.45119514,0.182592356,-1.700499172,185243.6386,0.046253464,0.018718129,0.092981393,0.273693706,2836304.985,0.708196689,0.286597285,-1.249677236,63617.21321,0.015884575,0.006428265,0.021937559,0.22738553,34289643.52,8.561777433,3.464831462,1.242663991,3184667.052,0.795179177,0.32179788,0.084982672,0.23939554
14,35.56,1273799.6,0.318054886,0.12871236,-2.050175134,479466.2277,0.119717871,0.048448146,0.273470355,0.273693706,2766661.217,0.690807344,0.279560061,-1.274538123,63617.21321,0.015884575,0.006428265,0.022477369,0.22738553,27647260.38,6.903241495,2.793645188,1.027347262,2838005.183,0.708621211,0.286769084,0.093094324,0.23939554
15,38.1,1128292.309,0.281723186,0.114009429,-2.17147412,121626.4254,0.030368889,0.012289864,0.097307467,0.273693706,1680719.022,0.419658553,0.169829941,-1.772957687,61101.69165,0.015256475,0.006174082,0.035079208,0.22738553,20079288.41,5.013595382,2.028931861,0.707509478,2049115.916,0.511643535,0.207054975,0.09260116,0.23939554
16,40.64,962138.7518,0.240236322,0.097220276,-2.330775985,238221.8077,0.059481578,0.024071362,0.198458543,0.273693706,1396538.705,0.3487016,0.141114656,-1.958182557,63617.21321,0.015884575,0.006428265,0.043568781,0.22738553,16507917.37,4.121860128,1.668059088,0.511660728,969406.9441,0.242051116,0.097954698,0.055466553,0.23939554
17,43.18,611814.7948,0.152763971,0.06182144,-2.783505044,61101.69165,0.015256475,0.006174082,0.0908013,0.273693706,856451.7134,0.213847337,0.086541023,-2.447136718,63617.21321,0.015884575,0.006428265,0.069143965,0.22738553,10632505,2.65482904,1.074372145,0.07173644,869606.5773,0.217131974,0.08787027,0.075604081,0.23939554
18,45.72,240807.9304,0.060127306,0.024332679,-3.715935011,58009.21219,0.014484314,0.005861599,0.194129466,0.273693706,496464.6545,0.123962207,0.05016577,-2.992422366,,0,0,0,0.22738553,6816959.675,1.702125934,0.688826536,-0.372765802,480347.8854,0.119938012,0.048537234,0.065825358,0.23939554
19,48.26,542362.5311,0.135422443,0.054803567,-2.904000004,58009.21219,0.014484314,0.005861599,0.096622156,0.273693706,421770.265,0.105311772,0.0426182,-3.155473888,,0,0,0,0.22738553,5713642.571,1.426638804,0.577340751,-0.54932263,425251.7346,0.10618106,0.042969989,0.069271715,0.23939554
20,50.8,359341.8764,0.089724035,0.036310061,-3.315660421,63617.21321,0.015884575,0.006428265,0.15040985,0.273693706,312190.8067,0.077950889,0.031545634,-3.456320097,61101.69165,0.015256475,0.006174082,0.163683149,0.22738553,4226107.547,1.055216343,0.427031281,-0.850898011,369299.7042,0.092210404,0.037316259,0.08036278,0.23939554
21,53.34,247567.1571,0.061815017,0.025015672,-3.688252771,,,,0,0.273693706,246345.3303,0.061509939,0.024892211,-3.693200325,,0,0,0,0.22738553,3842020.097,0.959313588,0.388220779,-0.946181084,114398.2497,0.028564087,0.011559486,0.028914599,0.23939554
22,55.88,116018.4244,0.028968628,0.011723198,-4.446185648,,,,0,0.273693706,113531.8904,0.028347766,0.011471944,-4.467850888,,0,0,0,0.22738553,2721421.175,0.679511363,0.274988735,-1.291025144,60235.33238,0.015040154,0.00608654,0.021654483,0.23939554
23,58.42,58009.21219,0.014484314,0.005861599,-5.139332829,,,,0,0.273693706,121626.4254,0.030368889,0.012289864,-4.398980398,,0,0,0,0.22738553,1759923.346,0.439435072,0.177833222,-1.726909124,126336.2547,0.031544886,0.012765774,0.06697713,0.23939554
24,60.96,121337.024,0.030296629,0.012260621,-4.401362662,,,,0,0.273693706,,0,0,,124718.9049,0.03114105,0.012602347,1,0.22738553,1517647.073,0.378941136,0.153352172,-1.875018222,424076.3597,0.105887581,0.042851222,0.21840204,0.23939554
25,63.5,,0,0,,,,,0,0.273693706,61101.69165,0.015256475,0.006174082,-5.087395106,,,,0,0.22738553,1090311.051,0.27223965,0.110171575,-2.205716356,126336.2547,0.031544886,0.012765774,0.10383967,0.23939554
26,66.04,64559.15476,0.016119768,0.006523445,-5.032352726,,,,0,0.273693706,,0,0,,,,,0,0.22738553,620823.4509,0.155013341,0.062731729,-2.768887915,63617.21321,0.015884575,0.006428265,0.09294774,0.23939554
27,68.58,,,,,,,,0,0.273693706,,0,0,,,,,0,0.22738553,1046555.124,0.261314237,0.105750213,-2.246675442,,0,0,0,0.23939554
28,71.12,,,,,,,,0,0.273693706,,0,0,,,,,0,0.22738553,615733.5397,0.153742442,0.062217414,-2.777120353,64228.12662,0.016037114,0.006489996,0.094458452,0.23939554
29,73.66,,,,,,,,0,0.273693706,,0,0,,,,,0,0.22738553,306582.8057,0.076550628,0.030978967,-3.474446774,,0,0,0,0.23939554
30,76.2,,,,,,,,0,0.273693706,53296.558,0.013307612,0.005385404,-5.224062907,,,,0,0.22738553,53296.558,0.013307612,0.005385404,-5.224062907,,0,0,0,0.23939554
31,78.74,,,,,,,,0,0.273693706,,0,0,,,,,0,0.22738553,308808.9259,0.077106468,0.031203908,-3.467211935,,0,0,0,0.23939554
