Size_class_in,Size_Class_cm, Total_Beech_Stems , Beech_Stem_Density ,Beech_stems_ha,Beech_LN_Stem_Density,Beech_Dead,Beech_Dead_Density,Beech_Dead_ha,Beech_relative_mortality,Beech_RBM,SM_Total_Stems, SM_stem_Density ,SM_stems_ha,SM_LN_Stem_Density,SM_Dead,SM_Dead_Density,SM_Dead_ha,SM_relative_mortality,SM_RBM, All_stems , All_Stem_Density ,All_stems_ha,All_LN_Stem_Density,All_Dead,All_Dead_Density,All_Dead_ha,All_relative_mortality,All_RBM
31,78.74,,,,,,,,,0.305671467,,0,0,,41639.65636,0.009644583,0.003903028,1,0.236837229,176880.8801,0.040969173,0.016579651,-4.099579203,41639.65636,0.009644583,0.003903028,0.1905526,0.218231892
32,81.28,,,,,,,,,0.305671467,35056.07761,0.008119693,0.003285926,-5.718106719,,0,0,0,0.236837229,245392.5433,0.056837853,0.023001483,-3.77219657,,0,0,0,0.218231892
33,83.82,,,,,,,,,0.305671467,,0,0,,,0,0,0,0.236837229,167251.0452,0.038738709,0.015677013,-4.155559767,,0,0,0,0.218231892
34,86.36,,,,,,,,,0.305671467,39814.11104,0.00922175,0.003731913,-5.590834317,,0,0,0,0.236837229,199070.5552,0.046108748,0.018659565,-3.981396405,,0,0,0,0.218231892
35,88.9,,,,,,,,,0.305671467,,,,,,0,0,0,0.236837229,207065.1562,0.047960459,0.019408926,-3.942022207,42156.20021,0.009764225,0.003951445,0.169151636,0.218231892
36,91.44,,,,,,,,,0.305671467,,,,,,0,0,0,0.236837229,102405.7276,0.023719228,0.00959884,-4.646113071,39814.11104,0.00922175,0.003731913,0.27994766,0.218231892
37,93.98,,,,,,,,,0.305671467,,,,,,0,0,0,0.236837229,149740.3773,0.034682886,0.014035678,-4.266152739,35056.07761,0.008119693,0.003285926,0.189701029,0.218231892
38,96.52,,,,,,,,,0.305671467,,,,,,0,0,0,0.236837229,84312.40042,0.019528449,0.00790289,-4.840526763,,0,0,0,0.218231892
39,99.06,,,,,,,,,0.305671467,,,,,,0,0,0,0.236837229,41639.65636,0.009644583,0.003903028,-5.546002725,,0,0,0,0.218231892
40,101.6,,,,,,,,,0.305671467,,,,,39814.11104,0.00922175,0.003731913,1,0.236837229,,,,0,39814.11104,0.00922175,0.003731913,1,0.218231892
