Size_class_in,Size_Class_cm, Total_Beech_Stems , Beech_Stem_Density ,Beech_stems_ha,Beech_LN_Stem_Density,Beech_Dead,Beech_Dead_Density,Beech_Dead_ha,Beech_relative_mortality,Beech_RBM,SM_Total_Stems, SM_stem_Density ,SM_stems_ha,SM_LN_Stem_Density,SM_Dead,SM_Dead_Density,SM_Dead_ha,SM_relative_mortality,SM_RBM, All_stems , All_Stem_Density ,All_stems_ha,All_LN_Stem_Density,All_Dead,All_Dead_Density,All_Dead_ha,All_relative_mortality,All_RBM
1,2.54,1565298511,362.5546462,146.7207895,4.98853139,525129.1593,0.121630485,0.049222154,0.000335369,0.305671467,866690568.8,200.7429831,81.23787487,4.397381578,,,,0,0.236837229,11658293866,2700.295553,1092.771806,6.996472689,4914586.995,1.138317284,0.460661068,0.000421375,0.218231892
2,5.08,205577598.5,47.61591031,19.26949228,2.958523134,1546470.46,0.358193691,0.144955972,0.007466397,0.305671467,68244992.5,15.80691411,6.396836842,1.855803625,1787699.149,0.414067111,0.167567163,0.025526638,0.236837229,1521102149,352.3178791,142.5781132,4.959890013,63090943.1,14.61313251,5.913730143,0.039825286,0.218231892
3,7.62,81028256.54,18.7677754,7.595055955,2.027497503,992817.2287,0.229956457,0.093060159,0.012104416,0.305671467,33788941.89,7.82619915,3.167153229,1.152833149,358452.0977,0.083024722,0.033598943,0.010497202,0.236837229,731256407.7,169.373705,68.54316718,4.227463725,28685397.15,6.644115447,2.688780504,0.037746834,0.218231892
4,10.16,43249890.86,10.01754539,4.053960373,1.399694273,856739.1691,0.198438039,0.080305096,0.019424272,0.305671467,16182929.35,3.748292217,1.516881384,0.416656506,991908.6898,0.229746021,0.092974998,0.057753598,0.236837229,406468375.5,94.1462584,38.09967273,3.640205692,29409244.19,6.811772995,2.756629166,0.067471333,0.218231892
5,12.7,26634770.53,6.169149041,2.496568249,0.914917088,793298.7434,0.183743959,0.074358608,0.02892288,0.305671467,11202522.35,2.594729695,1.050050781,0.048838526,1039717.402,0.240819481,0.097456272,0.084928691,0.236837229,252892250.5,58.57493621,23.70445663,3.165663074,24400311.11,5.651603258,2.287124716,0.087994827,0.218231892
6,15.24,14281264.16,3.307828277,1.338631794,0.291648043,613691.7605,0.142143366,0.05752343,0.041201314,0.305671467,10498906.31,2.431758055,0.98409844,-0.016029346,734613.5517,0.170151287,0.068857844,0.065394779,0.236837229,167869701.5,38.88200227,15.73500197,2.755887656,27736200.9,6.424262488,2.599809089,0.141796339,0.218231892
7,17.78,11246783.78,2.604981533,1.054199557,0.052781765,585080.9591,0.135516528,0.054841642,0.049449598,0.305671467,8293360.96,1.920909352,0.777365122,-0.251845126,466289.4088,0.108002014,0.043706903,0.053231509,0.236837229,135917083.6,31.48113272,12.73997368,2.544744584,24067532.09,5.574524936,2.255932198,0.15043654,0.218231892
8,20.32,7647091.318,1.771220293,0.716788056,-0.332975081,471963.9904,0.109316361,0.044238801,0.058130407,0.305671467,6732054.055,1.559279243,0.63101848,-0.460420131,530088.7861,0.122779234,0.049687037,0.07299344,0.236837229,106133750.5,24.58271319,9.948279871,2.297399659,18954004.33,4.390128967,1.776623731,0.151525658,0.218231892
9,22.86,6982060.549,1.617185779,0.654452444,-0.423956356,648373.3845,0.150176328,0.060774258,0.08497202,0.305671467,5727725.669,1.32665657,0.536879341,-0.621981901,366896.3313,0.084980576,0.03439045,0.060200014,0.236837229,90966456.34,21.06966254,8.526597455,2.14319039,14471136.16,3.351806455,1.356429147,0.137248355,0.218231892
10,25.4,3718492.781,0.861277785,0.348547062,-1.053982017,426136.3933,0.098701767,0.039943223,0.102816531,0.305671467,5833285.224,1.351106288,0.546773799,-0.603720092,589112.2427,0.136450255,0.055219508,0.091727777,0.236837229,70956361.47,16.43492174,6.650982741,1.894764624,10648609.28,2.466432276,0.998130612,0.130489714,0.218231892
11,27.94,3564840.456,0.825688814,0.334144703,-1.096181137,399544.6934,0.092542594,0.037450692,0.100783521,0.305671467,5359099.566,1.241275344,0.502326754,-0.688504467,260710.0083,0.060385686,0.024437242,0.046391253,0.236837229,61054768.35,14.14151345,5.722872511,1.744470867,8658186.546,2.005410303,0.811561474,0.12419767,0.218231892
12,30.48,2881470.894,0.667406666,0.270090134,-1.308999546,276243.1617,0.063983477,0.025893218,0.087482007,0.305671467,3888463.201,0.900646356,0.364478971,-1.009286421,334729.4577,0.077530081,0.031375338,0.079259812,0.236837229,47037117.64,10.89474335,4.408950108,1.48363659,5649290.491,1.308489404,0.529527343,0.107224817,0.218231892
13,33.02,2202444.167,0.510130407,0.206442634,-1.577732708,354456.0051,0.082099146,0.033224375,0.138627237,0.305671467,3139751.074,0.727229555,0.29429962,-1.223156916,250577.1251,0.058038707,0.023487452,0.073909401,0.236837229,38870916.54,9.003286783,3.643504115,1.292945888,4280929.045,0.991549346,0.401266139,0.099206163,0.218231892
14,35.56,1448890.215,0.335592141,0.135809441,-1.996502542,215030.1865,0.04980532,0.020155516,0.129231054,0.305671467,2522648.131,0.584296091,0.236456448,-1.441991241,89337.08318,0.020692267,0.008373871,0.034202752,0.236837229,31107495.51,7.205122187,2.915812077,1.070148367,2885183.416,0.668266561,0.270438121,0.084876612,0.218231892
15,38.1,951564.8172,0.220401568,0.089193429,-2.41694791,159361.3368,0.036911294,0.014937484,0.143449082,0.305671467,1922506.423,0.44529119,0.18020311,-1.713670673,54392.29082,0.01259835,0.005098376,0.027513949,0.236837229,23643605.67,5.476335044,2.216196123,0.795792268,1840020.706,0.426185837,0.172471442,0.072204037,0.218231892
16,40.64,931521.3704,0.215759102,0.087314688,-2.438236584,157891.8617,0.036570934,0.014799745,0.144932939,0.305671467,1368867.62,0.317057297,0.128308649,-2.053316594,49443.94594,0.011452213,0.00463455,0.034861131,0.236837229,18323840.69,4.244170382,1.717556335,0.540902545,1724932.169,0.399529015,0.161683799,0.086036795,0.218231892
17,43.18,749748.8247,0.173656921,0.070276525,-2.655317466,90824.64887,0.021036817,0.008513305,0.108050815,0.305671467,1315877.218,0.304783654,0.123341678,-2.092796908,14387.86832,0.00333252,0.001348624,0.01081579,0.236837229,15957390.97,3.696052989,1.4957409,0.402621669,946735.1099,0.21928291,0.088740724,0.056006155,0.218231892
18,45.72,501253.7881,0.116100468,0.046984234,-3.05794318,172009.0786,0.039840765,0.016123,0.255485765,0.305671467,678295.2634,0.157106838,0.063578938,-2.755473031,35056.07761,0.008119693,0.003285926,0.049142793,0.236837229,11202185.75,2.594651732,1.050019231,0.048808479,738718.6627,0.171102113,0.06924263,0.061864549,0.218231892
19,48.26,344181.3807,0.079719337,0.032261299,-3.433886928,131180.1506,0.030383964,0.012295965,0.275958701,0.305671467,562445.1252,0.130273614,0.052719908,-2.942762141,,0,0,0,0.236837229,8136416.295,1.884557809,0.762654161,-0.270950612,745571.5791,0.172689387,0.069884977,0.083941972,0.218231892
20,50.8,282879.2788,0.065520536,0.026515243,-3.630035486,65319.37995,0.015129283,0.006122609,0.187592279,0.305671467,573012.9245,0.132721329,0.053710464,-2.924147443,14387.86832,0.00333252,0.001348624,0.024494125,0.236837229,6493946.431,1.504128723,0.608699837,-0.496430012,405751.2063,0.093980148,0.03803245,0.0588071,0.218231892
21,53.34,128222.8157,0.029698985,0.012018764,-4.421286218,12752.63446,0.002953767,0.001195348,0.090459966,0.305671467,255110.9469,0.059088831,0.023912423,-3.733357179,,0,0,0,0.236837229,4538968.233,1.051316417,0.425453036,-0.854600712,337981.1402,0.078283236,0.03168013,0.069301753,0.218231892
22,55.88,65319.37995,0.015129283,0.006122609,-5.09576694,,0,0,0,0.305671467,161319.0681,0.037364744,0.015120989,-4.191671522,,0,0,0,0.236837229,3739905.982,0.866237514,0.350554194,-1.048239964,167330.0714,0.038757013,0.015684421,0.042825688,0.218231892
23,58.42,51010.53783,0.011815067,0.004781392,-5.34302348,47808.71207,0.01107346,0.004481274,0.483799585,0.305671467,129093.7417,0.029900709,0.012100398,-4.414516895,14387.86832,0.00333252,0.001348624,0.100276742,0.236837229,2727980.241,0.631855141,0.25570293,-1.363738939,188189.9059,0.043588571,0.017639684,0.064533239,0.218231892
24,60.96,39814.11104,0.00922175,0.003731913,-5.590834317,14387.86832,0.00333252,0.001348624,0.265449131,0.305671467,78072.01441,0.01808305,0.007317957,-4.917424053,14387.86832,0.00333252,0.001348624,0.155612011,0.236837229,1994529.057,0.461973082,0.186954038,-1.676892476,223088.2584,0.051671732,0.020910826,0.100598177,0.218231892
25,63.5,39814.11104,0.00922175,0.003731913,-5.590834317,,0,0,0,0.305671467,127515.9603,0.029535263,0.011952508,-4.42681418,,0,0,0,0.236837229,1467866.619,0.339987459,0.137588165,-1.98349037,60561.34653,0.014027227,0.005676622,0.039623291,0.218231892
26,66.04,,,,,39814.11104,0.00922175,0.003731913,1,0.305671467,87622.82311,0.02029521,0.008213187,-4.802014214,,0,0,0,0.236837229,1045805.817,0.24222968,0.09802696,-2.322512731,113128.092,0.026202744,0.010603883,0.097613929,0.218231892
27,68.58,,,,,,,,,0.305671467,14387.86832,0.00333252,0.001348624,-6.608670342,,0,0,0,0.236837229,643861.0388,0.149131178,0.0603513,-2.807572791,77212.27782,0.017883918,0.007237371,0.107079649,0.218231892
28,71.12,,,,,,,,,0.305671467,,0,0,,,0,0,0,0.236837229,720815.9054,0.166955474,0.067564543,-2.694671943,,0,0,0,0.218231892
29,73.66,,,,,,,,,0.305671467,12752.63446,0.002953767,0.001195348,-6.729317841,,0,0,0,0.236837229,923223.5938,0.21383717,0.086536909,-2.447184264,,0,0,0,0.218231892
30,76.2,,,,,,,,,0.305671467,41639.65636,0.009644583,0.003903028,-5.546002725,12752.63446,0.002953767,0.001195348,0.234456653,0.236837229,525297.2251,0.121669412,0.049237908,-3.01109147,57271.61915,0.01326526,0.005368265,0.098308757,0.218231892
