Size_class_in,Size_Class_cm, Beech_Stem_Density ,Beech_stems_ha,Beech_LN_Stem_Density, SM_stem_Density , SM_stems_ha ,SM_LN_Stem_Density, All_stem_density , All_stems_ha ,All_LN_Stem_Density
1,2.54," 521,084,366 "," 210,875,548 ",19.1667787," 153,355,849 "," 62,060,965 ",17.94362777," 4,246,468,395 "," 1,718,486,309 ",21.26470969
2,5.08," 58,994,000 "," 23,874,046 ",16.98830249," 21,809,762 "," 8,826,105 ",15.99322441," 429,711,731 "," 173,898,321 ",18.97398133
3,7.62," 30,768,810 "," 12,451,707 ",16.33736826," 9,439,777 "," 3,820,146 ",15.15579911," 197,146,794 "," 79,782,548 ",18.19481534
4,10.16," 12,631,089 "," 5,111,625 ",15.4470279," 5,246,218 "," 2,123,071 ",14.56837415," 149,548,392 "," 60,520,141 ",17.91848677
5,12.7," 7,736,645 "," 3,130,912 ",14.95683483," 3,064,148 "," 1,240,018 ",14.03063629," 89,528,253 "," 36,230,830 ",17.40542098
6,15.24," 4,506,231 "," 1,823,609 ",14.41632785," 3,300,532 "," 1,335,679 ",14.10495034," 74,411,709 "," 30,113,377 ",17.22048004
7,17.78," 2,535,391 "," 1,026,037 ",13.84121472," 3,502,011 "," 1,417,215 ",14.16420398," 65,067,013 "," 26,331,709 ",17.08628444
8,20.32," 2,563,276 "," 1,037,322 ",13.85215285," 2,649,311 "," 1,072,139 ",13.88516623," 56,121,619 "," 22,711,634 ",16.93838784
9,22.86," 1,711,257 "," 692,522 ",13.44809504," 2,511,285 "," 1,016,282 ",13.83166114," 52,056,839 "," 21,066,674 ",16.86320292
10,25.4," 1,717,368 "," 694,995 ",13.45165985," 1,540,804 "," 623,542 ",13.34317101," 43,926,230 "," 17,776,330 ",16.69337838
11,27.94," 1,101,335 "," 445,695 ",13.00739006," 1,411,034 "," 571,026 ",13.25518931," 39,342,991 "," 15,921,558 ",16.58318457
12,30.48," 915,329 "," 370,421 ",12.82239491," 1,327,420 "," 537,188 ",13.19410361," 34,050,055 "," 13,779,581 ",16.4386984
13,33.02," 427,406 "," 172,965 ",12.0608452," 1,463,338 "," 592,192 ",13.2915866," 29,443,142 "," 11,915,227 ",16.29332776
14,35.56," 714,557 "," 289,171 ",12.57477448," 1,066,146 "," 431,454 ",12.97491711," 26,143,643 "," 10,579,966 ",16.17447279
15,38.1," 458,869 "," 185,698 ",12.13187703," 672,703 "," 272,234 ",12.51441566," 20,993,783 "," 8,495,890 ",15.95509307
16,40.64," 162,349 "," 65,701 ",11.09286195," 535,972 "," 216,900 ",12.28719326," 14,795,093 "," 5,987,367 ",15.60516233
17,43.18," 300,657 "," 121,672 ",11.70908227," 514,005 "," 208,011 ",12.24534388," 15,237,755 "," 6,166,506 ",15.63464298
18,45.72," 199,102 "," 80,574 ",11.29692719," 528,615 "," 213,923 ",12.27337096," 11,155,453 "," 4,514,456 ",15.32279515
19,48.26," 129,569 "," 52,435 ",10.86732495," 259,708 "," 105,100 ",11.56267116," 7,623,274 "," 3,085,032 ",14.94207271
20,50.8," 82,409 "," 33,350 ",10.41480348," 243,441 "," 98,517 ",11.4979878," 7,262,004 "," 2,938,831 ",14.89352255
21,53.34," 94,320 "," 38,170 ",10.54980914," 35,249 "," 14,265 ",9.565536543," 5,351,443 "," 2,165,654 ",14.58823301
22,55.88," 82,409 "," 33,350 ",10.41480348," 118,010 "," 47,757 ",10.77387766," 4,518,779 "," 1,828,687 ",14.41910857
23,58.42," 47,160 "," 19,085 ",9.856661956," 79,588 "," 32,208 ",10.37997852," 2,965,815 "," 1,200,224 ",13.99801846
24,60.96," 91,500 "," 37,029 ",10.51944968," 47,160 "," 19,085 ",9.856661956," 2,275,263 "," 920,767 ",13.73296254
25,63.5," 44,340 "," 17,944 ",9.794992408," 34,284 "," 13,874 ",9.537794058," 1,380,267 "," 558,575 ",13.23314384
26,66.04,, -   ,," 34,284 "," 13,874 ",9.537794058," 1,645,025 "," 665,719 ",13.40862247
27,68.58,, -   ,," 34,284 "," 13,874 ",9.537794058," 1,195,163 "," 483,666 ",13.08914938
28,71.12," 47,160 "," 19,085 ",9.856661956," 35,601 "," 14,407 ",9.575480786," 945,982 "," 382,826 ",12.85533505
29,73.66,,,," 41,732 "," 16,888 ",9.734372437," 327,257 "," 132,436 ",11.79385751
30,76.2,,,,, -   ,," 268,229 "," 108,549 ",11.59495304
31,78.74,,,,, -   ,," 417,915 "," 169,124 ",12.03838919
32,81.28,,,,, -   ,," 167,147 "," 67,642 ",11.12198218
33,83.82,,,," 35,249 "," 14,265 ",9.565536543," 211,978 "," 85,784 ",11.35959289
34,86.36,,,,, -   ,," 200,066 "," 80,964 ",11.30175947
35,88.9,,,,, -   ,," 271,050 "," 109,690 ",11.60541335
36,91.44,,,," 47,160 "," 19,085 ",9.856661956," 47,160 "," 19,085 ",9.856661956
37,93.98,,,,,,," 94,320 "," 38,170 ",10.54980914
38,96.52,,,,,,," 176,729 "," 71,520 ",11.17773008
39,99.06,,,,,,," 35,249 "," 14,265 ",9.565536543
40,101.6,,,,,,,,,
